site,x,y,LRIvegetation,mud,native,exotic,waterfall,scrub,river,lake,ice,sand,snow,elevation,FSLsoil,orchard,shingle,elevation
RH,174.5357421234,-36.7359823655,1,0,1,1,0,0,1,1,0,0,0,43,1,1,0,43
RHP,176.8640349023,-39.6273955279,1,0,0,0,0,0,0,0,0,0,0,14,1,1,0,14
RMW,175.8069415296,-39.8094562325,1,0,0,0,0,0,1,0,0,0,0,267,1,0,1,267
RUA,177.4831513003,-38.8157229073,1,0,0,1,0,0,1,0,0,0,0,83,1,0,0,83
SEL,171.8951741582,-43.4575251401,1,0,0,1,0,1,1,0,0,0,0,301,1,0,1,301
SH,174.8369971243,-36.6142438046,1,0,0,0,0,1,0,0,0,1,0,39,1,0,0,39
SKL,172.8496225919,-42.7705298328,1,0,1,0,0,0,0,1,0,0,0,182,1,0,0,182
SP,175.1626163481,-37.0324313027,1,0,0,1,0,0,0,0,0,0,0,373,1,0,0,373
SPR,170.0224365847,-44.339139393,1,0,0,0,0,0,0,0,0,0,0,502,1,0,0,502
SR,172.4104622968,-43.6959735183,1,0,0,1,0,0,0,0,0,0,0,8,1,0,1,8
STX,172.6103083531,-43.4627097688,1,0,1,0,0,1,0,1,0,0,0,15,1,1,0,15
SY,174.9754406818,-37.0861594544,1,0,1,1,0,1,0,1,0,0,0,35,1,0,0,35
TAS,173.0575424712,-41.1966225544,1,0,1,1,0,1,0,1,0,0,0,14,1,1,0,14
TH,175.8769486548,-40.4050487351,1,0,0,0,0,1,1,0,0,0,0,98,1,0,1,98
TIR,175.9195862793,-40.4669623376,1,0,1,0,0,1,1,1,0,0,0,105,1,0,0,105
TIW,177.2404231785,-38.9192242422,1,0,1,1,0,0,1,1,0,0,0,63,1,0,0,63
TK,175.4576781842,-39.4962039666,1,0,1,0,0,1,1,1,0,0,0,601,1,0,0,601
TKP,176.3342033889,-39.9658990974,1,0,1,1,0,0,0,1,0,0,0,233,1,0,0,233
TKT,176.3507613911,-39.935274186,1,0,1,0,0,0,1,1,0,0,0,250,1,0,1,250
TNK,172.6892629363,-43.3049071913,1,0,0,0,0,1,0,0,0,0,0,5,1,0,0,5
TP,176.2880222937,-39.0130121667,1,0,1,1,0,1,0,1,0,0,0,659,1,0,0,659
TR,175.6676152575,-41.0630478618,1,0,0,0,0,0,1,0,0,0,0,76,1,0,0,76
TRB,176.9278956118,-39.715467402,1,0,1,1,0,1,1,1,0,0,0,28,1,1,1,28
TRC,175.9886851153,-40.7545029938,1,0,0,1,0,1,0,0,0,0,0,262,1,0,0,262
TRK,174.7699807996,-37.8688932431,1,0,0,0,0,1,0,0,0,0,0,202,1,0,0,202
TRN,174.8488556381,-36.3740223274,1,0,0,0,0,1,0,0,0,1,0,39,1,0,0,39
TRP,175.6956222226,-36.7990796162,1,0,0,1,0,0,0,0,0,1,0,20,1,0,0,20
TRU,175.5204520475,-37.1104299446,1,1,0,0,0,1,0,0,0,1,0,10,1,0,0,10
TS,176.0649067434,-40.2453548289,1,0,1,0,0,0,0,1,0,0,0,164,1,0,0,164
TSH,176.7027490202,-39.9489352108,1,0,1,1,0,0,1,1,0,0,0,99,1,0,1,99
TSRM,173.2023754856,-41.3489972724,1,0,1,1,0,1,0,1,0,0,0,61,1,0,0,61
TUK,176.9319713853,-39.604559851,1,0,1,0,0,0,1,1,0,0,0,5,1,1,1,5
VU,174.7267773717,-36.6895387391,1,0,0,0,0,1,0,0,0,0,0,33,1,0,0,33
WAI,174.9157586296,-41.2281961005,1,0,0,0,0,1,0,0,0,0,0,6,1,0,0,6
WB,175.0964551433,-37.0930120735,1,0,1,1,0,1,0,1,0,0,0,95,1,0,0,95
WC,175.2553381211,-38.8916343427,1,0,0,1,0,1,1,0,0,0,0,166,1,0,1,166
WGMAN,175.1258959241,-41.0938942047,1,0,0,1,0,1,1,0,0,0,0,96,1,0,1,96
WGPOR,174.8395844154,-41.1493635885,1,0,0,1,0,1,0,0,0,0,0,15,1,0,0,15
WGR,175.4940480903,-36.7570422341,1,1,0,1,0,1,1,0,0,1,0,6,1,0,0,6
WGWG,175.4011236175,-41.0219420204,1,0,0,1,0,1,1,0,0,0,0,127,1,0,1,127
WHB,175.878993953,-41.064831198,1,0,1,1,0,0,0,1,0,0,0,213,1,0,0,213
WKK,175.0705010479,-37.7778151943,1,0,0,1,0,0,0,0,0,0,0,105,1,0,0,105
WKMTA,174.9304705046,-37.4269155572,1,0,0,0,0,0,0,0,0,0,0,51,1,0,0,51
WKN,175.133460817,-40.8758543755,1,0,0,1,0,1,0,0,0,0,0,176,1,0,0,176
WKNK,174.9021820884,-37.5450339229,1,0,0,1,1,0,0,0,0,0,0,65,1,0,0,65
WKOKU,175.0401930613,-38.0476528999,1,0,0,0,0,1,0,0,0,0,0,340,1,0,0,340
WKR,177.1916367743,-38.8561614534,1,0,0,1,0,1,1,0,0,0,0,112,1,0,0,112
WKWK,174.9821500985,-38.062498831,1,0,0,1,0,0,0,0,0,0,0,65,1,0,0,65
WMR,172.5916752979,-43.5215260517,1,0,0,0,0,0,0,0,0,0,0,18,1,0,0,18
WMU,175.5210611075,-37.0260620711,1,0,0,0,0,1,0,0,0,1,0,20,1,0,0,20
WN,174.8401154099,-37.8156717098,1,0,0,1,0,0,1,0,0,1,0,27,1,0,0,27
WP,176.4455925065,-39.862254612,1,0,0,1,0,1,1,0,0,0,0,218,1,0,1,218
WPR,172.5897316254,-43.0597443108,1,0,0,1,0,0,0,0,0,0,0,163,1,0,1,163
WS,175.0543087616,-37.0143136671,1,0,1,1,0,0,0,1,0,0,0,17,1,0,0,17
WTT,175.0349197429,-37.8684775578,1,0,1,1,0,1,0,1,0,0,0,48,1,0,0,48
